작가명,경매일,작품정보,추정가,낙찰가,차액
원충희 元忠喜 외 10인,2025.02.20,금준청취 琴樽淸趣 : 합작 | 비단에 수묵담채 | 124x37.5cm | 원주 原州,"1,500,000 - 4,000,000","1,700,000","200,000"
김규진 金圭鎭,2025.02.20,니금죽 泥金竹 대련 | 비단에 금니 | 144x43.3cmx2 | 남평 南平/용삼 容三,"2,000,000 - 4,500,000","3,200,000","1,200,000"
양기훈 楊基薰,2025.02.20,괴석묵죽 怪石墨竹 : 지두화 | 비단에 수묵 | 23x24cm | 중화 中和/치남 痴南,"400,000 - 1,300,000","600,000","200,000"
김기창 金基昶,2025.02.20,매화선동 梅花仙洞 | 1955년(을미) | 종이에 수묵담채 | 41x53.2cm | 김해 金海,"2,000,000 - 4,500,000",낙찰 X,N/A
정학교 丁學敎,2025.02.20,홍매 紅梅·시고 詩稿 | 1879년(기묘) | 비단에 수묵담채·먹 | 146.7x34.7cmx2 | 나주 羅州/화경 化境,"3,000,000 - 7,000,000","3,000,000",0
지운영 池雲英,2025.02.20,고사인물육곡병 高士人物六曲屛 | 비단에 수묵담채 | 133x31.2cmx6 | 충주 忠州,"3,000,000 - 6,000,000",낙찰 X,N/A
유치봉 兪致鳳,2025.02.20,수조 樹鳥 | 천에 수묵담채 | 20.4x14.2cm | 기계 杞溪,"300,000 - 1,000,000","300,000",0
박노수 朴魯壽,2025.02.20,국화 菊花 | 1966년(병오) | 종이에 수묵담채 | 38x33.6cm | 밀양 密陽,"500,000 - 1,300,000","600,000","100,000"
황성하 黃成河,2025.02.20,종규 鍾馗 | 종이에 수묵담채 | 36.2x6cm | 부평 富平/은경 殷卿,"300,000 - 800,000",낙찰 X,N/A
허백련 許百鍊,2025.02.20,송수학령 松壽鶴齡 | 1967년(정미) | 종이에 수묵담채 | 133x126.8cm | 양천 陽川,"3,500,000 - 7,000,000",낙찰 X,N/A
정종여 鄭鍾汝 외 7인,2025.02.20,합작병 合作屛 | 종이에 수묵담채 | 26x29.4cmx8 | 초계 草溪,"5,000,000 - 14,000,000","5,000,000",0
장우성 張遇聖,2025.02.20,기독부활상 基督復活像 | 1985년(을축) | 종이에 수묵채색 | 260x150cm | 단양 丹陽,"20,000,000 - 50,000,000","26,000,000","6,000,000"
"이용우 李用雨, 최우석 崔禹錫",2025.02.20,종규 鍾馗 : 선면 | 1930년(경오) | 천에 수묵담채 | 13.3x45.2cm | 경주 慶州/창윤 蒼潤,"700,000 - 2,000,000","1,000,000","300,000"
김기창 金基昶,2025.02.20,바보산수 山水 | 1987년(정묘) | 비단에 수묵담채 | 64.5x61.7cm | 김해 金海,"5,000,000 - 14,000,000",낙찰 X,N/A
노수현 盧壽鉉,2025.02.20,지석만년 芝石萬年 | 1964년(갑진) | 종이에 수묵담채 | 31x128cm | 광주 光州,"600,000 - 1,400,000",낙찰 X,N/A
허백련 許百鍊,2025.02.20,산수 山水 | 1964년(갑진) | 종이에 수묵담채 | 32.2x121.6cm | 양천 陽川,"2,000,000 - 4,500,000","2,200,000","200,000"
박승무 朴勝武,2025.02.20,노안 蘆雁 | 1966년(병오) | 종이에 수묵담채 | 32.7x67.2cm | 반남 潘南,"300,000 - 800,000","300,000",0
김은호 金殷鎬,2025.02.20,웅시팔황 雄視八荒 | 종이에 수묵담채 | 41.5x65cm | 상산 商山,"1,000,000 - 2,500,000","1,200,000","200,000"
안중식 安中植,2025.02.20,산수 山水 | 종이에 수묵담채 | 122.6x30.2cm | 순흥 順興/공립 公立,"1,500,000 - 3,000,000","1,800,000","300,000"
서병오 徐丙五,2025.02.20,사군자십곡병 四君子十曲屛 | 종이에 수묵 | 136x34cmx10 | 달성 達城/순원 舜原,"5,000,000 - 12,000,000",낙찰 X,N/A
작가미상,2025.02.20,초당독서 草堂讀書 | 비단에 수묵담채 | 25x25cm,"500,000 - 1,200,000","500,000",0
책가 冊架 대련,2025.02.20,| 종이에 수묵채색 | 71.6x41.6cmx2,"2,500,000 - 5,000,000",낙찰 X,N/A
김석태 金錫泰,2025.02.20,| 1907년(정미) | 비단에 수묵담채 | 132.5x32cmx2,"2,000,000 - 4,500,000",낙찰 X,N/A
박승무 朴勝武,2025.02.20,사계산수십곡병 四季山水十曲屛 | 종이에 수묵담채 | 134.5x37.6cmx10 | 반남 潘南,"4,000,000 - 10,000,000","4,600,000","600,000"
손재형 孫在馨,2025.02.20,묵란 墨蘭 | 1971년(신해) | 종이에 수묵 | 27x24cm | 밀양 密陽,"500,000 - 1,300,000","700,000","200,000"
허건 許楗,2025.02.20,수천일색 水天一色 | 종이에 수묵담채 | 42.3x63.5cm | 양천 陽川,"600,000 - 1,500,000",낙찰 X,N/A
허형 許瀅,2025.02.20,괴석사군자팔곡병 怪石四君子八曲屛 | 종이에 수묵담채 | 64x29.5cmx8 | 양천 陽川,"2,000,000 - 4,500,000",낙찰 X,N/A
미기타 토시히데 右田年英,2025.02.20,김옥균의 횡사 金玉均ノ横死 | 1895년 | 종이에 목판화 | 36.8x25cm,"300,000 - 1,000,000","1,000,000","700,000"
김진우 金振宇,2025.02.20,묵죽 墨竹 : 허심 虚心 | 1932년(임신) | 종이에 수묵 | 29.5x41cm | 강릉 江陵/군협 君協,"700,000 - 2,000,000","1,000,000","300,000"
윤용구 尹用求,2025.02.20,. | 종이에 수묵담채 | 27x17.5cm | 해평 海平/주빈 周賓,"300,000 - 800,000","300,000",0
"정성원 鄭成源, 이석호 李錫澔",2025.02.20,금강산백납십이곡병 金剛山白納十二曲屛 : 검여 유희강 劍如 柳熙綱 표제 | 종이에 수묵담채 | 44x23.5cm 외 | 영일 迎日,"4,000,000 - 8,000,000","6,800,000","2,800,000"
이영일 李英一,2025.02.20,합작서화병풍 合作書畵屛風 : 옥전 손병익 玉田 孫秉翼(1862-1942) 희수에 | 1938년(무인) | 종이에 먹·수묵담채 | 145.5x39.3cmx8 | 전주 全州,"15,000,000 - 45,000,000","30,000,000","15,000,000"
허백련 許百鍊,2025.02.20,옥당부귀수석 玉堂富貴壽石 | 1966년(병오) | 종이에 수묵담채 | 33x128cm | 양천 陽川,"500,000 - 1,200,000","500,000",0
손재형 孫在馨,2025.02.20,석란 石蘭 | 종이에 수묵 | 32.4x81.5cm | 밀양 密陽,"700,000 - 1,800,000","800,000","100,000"
김은호 金殷鎬,2025.02.20,원앙 鴛鴦 | 1966년(병오) | 비단에 수묵담채 | 50x56cm | 상산 商山,"1,000,000 - 2,300,000","2,000,000","1,000,000"
허형 許瀅,2025.02.20,괴석묵죽 怪石墨竹·모란 牡丹 | 종이에 수묵 | 41x132cmx2 | 양천 陽川,"600,000 - 1,500,000",낙찰 X,N/A
이남호 李南浩,2025.02.20,화조십곡병 花鳥十穀屛 | 1979년(기미) | 종이에 수묵담채 | 126.8x31.5cmx10,"1,000,000 - 2,500,000","1,000,000",0
허련 許鍊,2025.02.20,석국 石菊·시고 詩稿 | 종이에 수묵·먹 | 24.8x68.5cm | 양천 陽川/정일 精一,"3,000,000 - 7,000,000","4,200,000","1,200,000"
김익로 金益魯,2025.02.20,사군자십이곡병 四君子十二曲屛 | 비단에 수묵 | 101x33cmx12,"2,000,000 - 4,500,000","2,300,000","300,000"
傳 강세황 姜世晃,2025.02.20,대나무 竹·국화 菊 | 종이에 수묵 | 26x33cmx2 | 진주 晋州/광지 光之,"4,000,000 - 9,000,000",낙찰 X,N/A
작가미상,2025.02.20,송하관월 松下觀月 | 비단에 수묵담채 | 27.7x20.3cm,"3,000,000 - 7,000,000","4,700,000","1,700,000"
이하응 李昰應,2025.02.20,묵란 墨蘭 | 1874년(갑술) | 종이에 수묵 | 18x32cmx10 | 전주 全州/시백 時伯,"14,000,000 - 30,000,000","14,000,000",0
허련 許鍊,2025.02.20,고목석죽 古木石竹 | 종이에 수묵 | 117.7x63.5cm | 양천 陽川/정일 精一,"8,000,000 - 20,000,000",낙찰 X,N/A
작가미상,2025.02.20,신선 神仙·고사인물 高士人物 | 비단에 수묵담채 | 145x36.5cmx2,"6,000,000 - 14,000,000","6,000,000",0
책가십곡병 冊架十曲屛,2025.02.20,| 종이에 수묵채색 | 87.7x31.6cmx10,"25,000,000 - 50,000,000","37,000,000","12,000,000"
지운영 池雲英,2025.02.20,산수 山水 | 종이에 수묵담채 | 130.5x50.1cm | 충주 忠州,"500,000 - 1,200,000",낙찰 X,N/A
김규진 金圭鎭,2025.02.20,묵죽 墨竹 | 비단에 수묵 | 124.5x36.5cm | 남평 南平/용삼 容三,"1,000,000 - 2,500,000","1,000,000",0
화조육곡병 花鳥六曲屛,2025.02.20,| 종이에 수묵채색 | 64.8x40.8cmx6,"5,000,000 - 10,000,000","5,600,000","600,000"
이화선 李花仙 외 6인,2025.02.20,묵란 墨蘭·시고 詩稿 외 : 부채 9점 | 종이에 수묵 외 | 15.5x44cm 외,"1,000,000 - 2,500,000","1,100,000","100,000"
김용진 金容鎭,2025.02.20,묵란 墨蘭 | 종이에 수묵 | 135x33.8cm | 안동 安東/성구 聖九,"400,000 - 1,000,000","400,000",0
김상옥 金相沃,2025.02.20,나무 樹 : 승춘고하진선연 承春高下盡嬋妍 | 1965년 | 종이에 수묵담채 | 75.3x21.3cm | 김해 金海,"500,000 - 1,300,000",낙찰 X,N/A
장운상 張雲祥,2025.02.20,미인 美人 | 1957년(정유) | 종이에 수묵담채 | 99x62cm,"600,000 - 1,800,000","1,300,000","700,000"
서세옥 徐世鈺,2025.02.20,매화 梅花 : 부채 | 종이에 수묵담채 | 17x54cm | 달성 達城,"1,000,000 - 2,500,000","1,200,000","200,000"
민경갑 閔庚甲,2025.02.20,산 山 | 2010년 | 종이에 채색 | 45.7x54cm | 여흥 驪興,"1,200,000 - 2,500,000","1,500,000","300,000"
김용진 金容鎭,2025.02.20,괴석화훼 怪石花卉 | 종이에 수묵담채 | 31x126.7cm | 안동 安東/성구 聖九,"300,000 - 800,000","300,000",0
지성채 池盛彩,2025.02.20,추경 秋景 | 1977년(정사) | 종이에 수묵담채 | 31.6x122cm | 충주 忠州,"300,000 - 700,000",낙찰 X,N/A
허건 許楗 외 4인,2025.02.20,송죽 松竹 : 합작 | 종이에 수묵담채 | 33.3x119cm | 양천 陽川,"500,000 - 1,200,000","800,000","300,000"
통영 지도 統營 地圖 2점,2025.02.20,"| 종이에 수묵담채 | 111.2x43.5cm, 111x46.4cm","10,000,000 - 25,000,000","10,000,000",0
화조팔곡병 花鳥八曲屛,2025.02.20,| 종이에 수묵채색 | 83.7x38.7cmx8,"12,000,000 - 26,000,000","12,000,000",0
까치호랑이 虎鵲,2025.02.20,| 종이에 수묵담채 | 57x39cm,"1,500,000 - 3,500,000","3,200,000","1,700,000"
마고 麻姑,2025.02.20,| 종이에 수묵채색 | 39x31cm,"1,000,000 - 2,500,000",낙찰 X,N/A
산수 山水 대련,2025.02.20,. | 종이에 수묵담채 | 62x34cmx2,"2,000,000 - 4,500,000","2,000,000",0
박병수 朴秉洙,2025.02.20,낙화화조영모십이곡병 烙畵花鳥翎毛十二曲屛 | 비단에 인두 | 134.3x33cmx12,"4,000,000 - 12,000,000","5,200,000","1,200,000"
백남철 白南哲,2025.02.20,낙화매조 烙畵梅鳥·괴석모란 怪石牡丹 | 종이에 인두 | 29.5x100cmx2,"1,000,000 - 2,500,000","1,500,000","500,000"
민택기 閔宅基,2025.02.20,묵죽 墨竹 | 1934년(갑술) | 비단에 수묵 | 128.3x43.3cm,"500,000 - 1,300,000",낙찰 X,N/A
이용우 李用雨,2025.02.20,매조 梅鳥 | 종이에 수묵담채 | 99.5x32cm | 경주 慶州/창윤 蒼潤,"300,000 - 800,000","350,000","50,000"
관동팔경병풍 關東八景屛風,2025.02.20,| 종이에 수묵담채 | 54.5x28.3cmx8,"18,000,000 - 35,000,000","18,000,000",0
박추선 朴秋仙,2025.02.20,묵란 墨蘭 : 부채 | 비단에 수묵 | 13.5x40cm,"500,000 - 1,400,000",낙찰 X,N/A
김응원 金應元,2025.02.20,묵란 墨蘭 | 비단에 수묵 | 19.1x15.1cm | 김해 金海/석범 錫範,"500,000 - 1,300,000","500,000",0
작가미상,2025.02.20,고사인물 高士人物 대련 | 비단에 수묵담채 | 37x21.5cmx2,"2,000,000 - 4,000,000",낙찰 X,N/A
자수시왕도십곡병 刺繡十王圖十曲屛,2025.02.20,| 비단에 자수 | 60.7x32.8cmx10,"5,000,000 - 15,000,000","20,000,000","15,000,000"
한양도 漢陽圖,2025.02.20,| 종이에 수묵담채 | 48x55cm,"1,500,000 - 3,000,000",낙찰 X,N/A
송하노인 松下老人,2025.02.20,| 종이에 수묵담채 | 25.5x39.3cm,"500,000 - 1,500,000","1,600,000","1,100,000"
지창한 池昌翰,2025.02.20,파초 芭蕉 | 종이에 수묵 | 117.7x39cm | 충주 忠州,"400,000 - 1,000,000",낙찰 X,N/A
배전 裵婰,2025.02.20,연화 蓮花 | 비단에 수묵 | 131.2x51.7cm | 김해 金海,"500,000 - 1,200,000","800,000","300,000"
김응원 金應元,2025.02.20,석란 石蘭 | 종이에 수묵 | 142.7x31.8cm | 김해 金海/석범 錫範,"400,000 - 1,200,000",낙찰 X,N/A
김지옥 金址沃,2025.02.20,괴석난죽 怪石蘭竹 | 1925년(을축) | 비단에 수묵담채 | 124.2x41.5cm,"500,000 - 1,200,000",낙찰 X,N/A
가토 쇼린 加藤松林,2025.02.20,조선풍속 朝鮮風俗 | 종이에 수묵담채 | 30x39.5cm,"500,000 - 1,300,000","900,000","400,000"
최영림 崔榮林,2025.02.20,추석 秋夕 날 | 1952년 | 나무보드에 유채 | 18.3x26cm,"1,500,000 - 3,000,000","1,500,000",0
성백주 成百胄,2025.02.20,장미 薔薇 | 1997년 | 캔버스에 유채 | 39.5x30.5cm,"1,200,000 - 2,500,000",낙찰 X,N/A
변시지 邊時志,2025.02.20,무제 無題 | 캔버스에 유채 | 31.5x41.5cm,"16,000,000 - 33,000,000",낙찰 X,N/A
이왈종 李曰鍾,2025.02.20,생활 속의 중도와 춤 | 한지에 혼합재료 | 37x28cm,"1,800,000 - 4,000,000",낙찰 X,N/A
김종학 金宗學,2025.02.20,풍경 風景 | 2008년 | 캔버스에 유채 | 22.5x31.7cm,"10,000,000 - 25,000,000","10,000,000",0
박창돈 朴昌敦,2025.02.20,언덕에서 | 캔버스에 유채 | 40x30.5cm,"1,000,000 - 2,500,000","1,000,000",0
김종학 金宗學,2025.02.20,꽃 | 1979년 | 종이에 수채 | 25x35cm,"1,300,000 - 2,800,000","1,600,000","300,000"
천경자 千鏡子,2025.02.20,개구리 | 종이에 수묵담채 | 34x30.5cm | 영양 潁陽,"4,500,000 - 10,000,000","4,500,000",0
김지하 金芝河,2025.02.20,묵란 墨蘭 : 허실생백 虛室生白 | 1985년(을축) | 종이에 수묵 | 29.3x37.5cm | 김해 金海,"400,000 - 1,000,000","500,000","100,000"
박생광 朴生光,2025.02.20,무제 無題 | 종이에 수묵담채 | 31.3x40.5cm | 밀양 密陽,"800,000 - 2,000,000",낙찰 X,N/A
이종상 李鐘祥,2025.02.20,황순원선생 존영 黃順元先生 尊影 | 종이에 수채 | 40x31cm | 광주 光州,"1,500,000 - 4,000,000",낙찰 X,N/A
자수 刺繡,2025.02.20,| 비단에 자수 | 20.3x48.4cmx3,"1,500,000 - 3,000,000",낙찰 X,N/A
고바야시 토케이텐 小林 時計店,2025.02.20,은제이화문발 銀製李花文鉢 | 5.8x12.5x12.5cm,"1,500,000 - 3,500,000","1,500,000",0
금동장신구 金銅裝身具 2점,2025.02.20,| 고려시대 | 금동 | 0.5x4x3cmx2,"2,000,000 - 4,500,000","2,600,000","600,000"
이방자 李方子,2025.02.20,"백자청화병白磁靑華甁·호壺 | 백자에 안료 | 11.3x1.5x6.2cm, 10.5x10.2x9.2cm","500,000 - 1,300,000",낙찰 X,N/A
이방자 李方子,2025.02.20,다완 茶碗 | 14.5x8x5.5cm,"300,000 - 800,000","300,000",0
삼화고려소 三和高麗燒,2025.02.20,청자상감유개호 靑磁象嵌有蓋壺 | 13x13.3x8.7cm,"1,000,000 - 2,300,000","1,600,000","600,000"
삼화고려소 三和高麗燒,2025.02.20,청자흑백상감병 靑磁黑白象嵌甁·잔 盞 | 병 13.3x2.6x3.2cmx2 잔 2.2x4x1.8cmx2,"700,000 - 2,000,000","1,100,000","400,000"
한양고려소 漢陽高麗燒,2025.02.20,흑유다완 黑釉茶碗 | 7.1x11.5x5.7cm,"400,000 - 1,000,000",낙찰 X,N/A
조선미술품제작소 朝鮮美術品製作所,2025.02.20,"나전칠기산수문벼루함 螺鈿漆器山水文硯匣· 벼루 硯·연적 硯滴 | 나무에 옻칠, 나전장식 | 4.2x26.3x21cm","1,000,000 - 3,000,000","2,000,000","1,000,000"
대택상회 大澤商會,2025.02.20,"나전칠기산수문사각함螺鈿漆器山水文四角函·받침盤 | 나무에 옻칠, 나전장식 | 함 3.5x9.8x13.2cm, 받침 2x13.7x16.5cm","400,000 - 1,000,000","600,000","200,000"
해시상회 海市商會,2025.02.20,"나전칠기수복문함 螺鈿漆器壽福文函· 은제젓가락 銀製箸 | 나무에 옻칠, 나전장식 | 2.5x27x5cm","500,000 - 1,500,000","1,600,000","1,100,000"
해시상회 海市商會,2025.02.20,"나전칠기운봉문접시 螺鈿漆器雲鳳文皿 5점 | 나무에 옻칠, 나전장식 | 3.5x15x15cmx5","500,000 - 1,400,000","600,000","100,000"
포도문일월연 葡萄文日月硯,2025.02.20,| 돌에 조각 |,"3,500,000 - 5,000,000","3,500,000",0
운문연 雲文硯,2025.02.20,| 돌에 조각 | 1.8x13.5x10cm,"2,000,000 - 4,500,000",낙찰 X,N/A
평양모란대문벼루 平壤牧丹台文硯,2025.02.20,| 돌에 조각 | 2.9x15x5cm,"300,000 - 800,000","850,000","550,000"
연화문연상 蓮花文硯床,2025.02.20,"| 나무에 조각, 옻칠 | 25.5x30.5x43.5cm","1,000,000 - 2,300,000",낙찰 X,N/A
별전 別錢 11점,2025.02.20,| 0.2x4x3.2cm 외,"2,000,000 - 5,000,000","3,400,000","1,400,000"
열쇠패 鑰牌,2025.02.20,| 0.3x18.2x13.2cm,"3,000,000 - 6,000,000","4,000,000","1,000,000"
이화문월도 李花文月刀,2025.02.20,| 혼합재료 | 145x16cm,"5,000,000 - 10,000,000","5,000,000",0
청동다리미 靑銅熨斗,2025.02.20,"| 고려시대 | 4.3x36x15cm, 4x19.5x12.8cm","2,000,000 - 4,500,000",낙찰 X,N/A
마제석검 磨製石劍 19점,2025.02.20,| 청동기시대 | 39x9cm 외,"8,000,000 - 15,000,000",낙찰 X,N/A
김응현 金膺顯,2024.11.28,연하기미 煙霞氣味 | 1988년(무진) | 종이에 먹 | 53.7x234cm | 안동 安東/선경 善卿,"1,500,000 - 4,000,000","2,600,000","1,100,000"
손재형 孫在馨,2024.11.28,군자지교담여수 君子之交淡如水 | 1961년(신축) | 종이에 먹 | 31.8x124cm | 밀양 密陽,"600,000 - 1,500,000",낙찰 X,N/A
서희환 徐喜煥,2024.11.28,내 마음 저 달을 맹글고저 : 선면 | 종이에 먹 | 15x45cm | 이천 利川,"500,000 - 1,300,000","600,000","100,000"
김충현 金忠顯,2024.11.28,재가불 在家佛 | 종이에 먹 | 130x62cm | 안동 安東/서경 恕卿,"700,000 - 2,500,000",낙찰 X,N/A
경흥부적도기적비명 慶興府赤島紀蹟碑銘 탁본,2024.11.28,| 종이에 탁본 | 153.5x62.6cm,"600,000 - 1,500,000","1,200,000","600,000"
이방자 李方子,2024.11.28,청풍 淸風 | 종이에 먹 | 23.5x39.5cm,"300,000 - 800,000",낙찰 X,N/A
"김응현 金膺顯 서, 방철주 方澈柱 도자",2024.11.28,목은 이색 시 牧隱 李穡 詩 : 도자서 | 1976년(병인) | 백자에 안료 | 39x28x0.9cmx6 | 안동 安東/선경 善卿,"1,000,000 - 3,000,000","1,400,000","400,000"
