날짜,제목,작가,생존여부,연도,재료,크기,추정가,낙찰가
2025-02-27,강점주향,임전 조정규,사망,null,종이에 수묵담채,27.5×28.2㎝,"10,000,000","10,000,000"
2025-02-27,유어도,임전 조정규,사망,null,종이에 수묵담채,29.3×41.2㎝,"5,000,000","5,000,000"
2025-02-27,유하조어도,현재 심사정,사망,null,종이에 수묵담채,25.3×20㎝,"25,000,000",N/A
2025-02-27,어부회선도,연옹 윤덕희,사망,null,종이에 수묵,20×56㎝,"25,000,000","25,000,000"
2025-02-27,어해도 10폭병풍,null,null,null,종이에 수묵채색,각 85×33㎝,"35,000,000","35,000,000"
2025-02-27,설한숙조도,겸재 정선,사망,null,종이에 수묵,22.3×19.5㎝,"20,000,000","30,000,000"
2025-02-27,"흑구도, 고사인물도, 월하취적도",남리 김두량,사망,null,흑구도_비단에 수묵고사인물도_비단에 수묵월하취적도_비단에 수묵,흑구도_25.3×17.8㎝고사인물도_25.7×17㎝월하취적도_25.5×18.2㎝,"60,000,000","60,000,000"
2025-02-27,정종대왕어제,정조,사망,1792,종이에 먹,54.5×144㎝,"100,000,000",N/A
2025-02-27,명의록 정조수택본,정조,사망,null,동활자본,34.2×22.5㎝ 외,"50,000,000",N/A
2025-02-27,감찰권공묘갈명,금대 이가환,사망,1800,종이에 먹,30×18.5㎝,"7,000,000","4,500,000"
2025-02-27,우후청강도,현재 심사정,사망,null,종이에 수묵담채,28×18.5㎝,"20,000,000","21,000,000"
2025-02-27,월하송하인물도,기야 이방운,사망,1817,종이에 수묵,49.7×57.9㎝,"40,000,000","46,000,000"
2025-02-27,산수도 6폭병풍,기야 이방운,사망,null,종이에 수묵담채,각 72×39㎝,"300,000,000",N/A
2025-02-27,화조도 8폭병풍,희원 이한철,사망,null,종이에 수묵채색,각 132.2×31.8㎝,"100,000,000",N/A
2025-02-27,화조도 8폭,석연 양기훈,사망,null,주색비단에 금니,각 142.2×31.5㎝,"60,000,000",N/A
2025-02-27,자수화조도 4폭,null,null,null,비단에 자수,각 56.6×33.7㎝,"10,000,000","15,000,000"
2025-02-27,화조영모도 10폭,null,null,null,종이에 수묵채색,각 109.5×38㎝,"20,000,000","21,000,000"
2025-02-27,자수화조영모 10폭병풍,null,null,null,비단에 자수,각 77.8×28.1㎝,"15,000,000","15,000,000"
2025-02-27,화조도 10폭병풍,혜산 유숙,사망,1865,비단에 수묵,각 151×35㎝,"150,000,000","185,000,000"
2025-02-27,형당화의첩,형당 유재소,사망,1849-1893년 경,종이에 먹종이에 수묵,전체_32×23㎝그림_24.7×41㎝글_24×39.7㎝ 외,"150,000,000","150,000,000"
2025-02-27,해암응일도,긍재 김득신,사망,null,비단에 수묵담채,각 115×49㎝,"150,000,000","165,000,000"
2025-02-27,구운몽도 8폭병풍,null,null,null,비단에 채색,각 79.5×36.5㎝,"150,000,000",N/A
2025-02-27,호작도,null,null,null,종이에 수묵채색,99×63㎝,"20,000,000","20,000,000"
2025-02-27,묵포도도,휴휴당 이계호,사망,null,종이에 수묵,94.7×59㎝,"30,000,000",N/A
2025-02-27,해학반도도,null,null,null,비단에 수묵채색,136.5×351㎝,"100,000,000","200,000,000"
2025-02-27,하마선인도,null,null,null,비단에 수묵채색,78.5×41.2㎝,"15,000,000","15,000,000"
2025-02-27,경직도 대련,null,null,null,비단에 수묵채색,각 93×50㎝,"20,000,000","29,000,000"
2025-02-27,경직도,null,null,null,비단에 수묵채색,220×51㎝,"10,000,000",N/A
2025-02-27,경직도 10폭병풍,null,null,null,비단에 채색,각 155.5×37.5㎝,"250,000,000","355,000,000"
2025-02-27,"가서초향, 예기검무",기산 김준근,null,null,비단에 수묵채색,각 25.5×34.5㎝,"30,000,000","30,000,000"
2025-02-27,세동도,일재 김윤보,사망,null,종이에 수묵담채,129.2×44㎝,"1,500,000",N/A
2025-02-27,초충도,null,null,null,종이에 수묵담채,57.3×26.5㎝,"1,000,000","1,100,000"
2025-02-27,조어산수도,의재 허백련,사망,null,종이에 수묵담채,136.5×33㎝,"1,000,000",N/A
2025-02-27,유금강산,청몽 황경하,사망,null,비단에 수묵담채,143×57.6㎝,"5,000,000","5,000,000"
2025-02-27,초충도 8폭병풍,null,null,null,종이에 채색,각 45.5×22.8㎝,"18,000,000","15,000,000"
2025-02-27,화조영모도 8폭병풍,null,null,null,종이에 채색,각 38×35.5㎝,"8,000,000",N/A
2025-02-27,책거리 4폭,null,null,null,종이에 채색,각 68.2×40.3㎝,"8,000,000","8,000,000"
2025-02-27,책거리 8폭병풍,null,null,null,종이에 수묵,각 104.5×31㎝,"10,000,000","10,000,000"
2025-02-27,"관기망초, 해야어락",null,null,null,종이에 수묵채색,98.8×58㎝ / 105.2×58.3㎝,"15,000,000","30,000,000"
2025-02-27,비파도,운보 김기창,사망,null,종이에 수묵채색,128.7×68.5㎝,"6,000,000",N/A
2025-02-27,경구팔경도첩 중 밤섬,Special Lot.002,사망,1768,"종이에 수묵담채, 종이에 먹",그림_23.8×13.6㎝글_23.8×13.6㎝,,N/A
2025-02-27,장안동구,Special Lot.003,사망,null,종이에 수묵채색,24.1×31.4㎝,,"48,000,000"
2025-02-27,신광동문도,Special Lot.004,사망,null,종이에 수묵담채,각 28.3×21.8㎝,,"150,000,000"
2025-02-27,사인풍속도-북일영·남소영·세검정,Special Lot.005,null,null,종이에 수묵채색,각 35×45.1㎝,,N/A
2025-02-27,영남명승 35경도첩,Special Lot.006,null,1767 추정,종이에 수묵채색,각 38.5×45.5㎝,,N/A
2024-12-05,물의천심,현현거사 박영효,사망,null,종이에 먹,14.5×48.2㎝,"600,000","700,000"
2024-12-05,서일상운,이방자,사망,null,종이에 채색,32.7×61.5㎝,"800,000","800,000"
2024-12-05,산수풍속도 6폭병풍,일재 김윤보,사망,null,종이에 수묵담채,각 130×33.8㎝,"3,000,000","3,000,000"
2024-12-05,"승무도, 풍속도",이당 김은호,사망,null,비단에 채색,"승무_120×69.7㎝, 풍속_徑 22㎝","3,000,000","3,000,000"
2024-12-05,추경산수,소정 변관식,사망,null,종이에 수묵담채,121×32㎝,"2,000,000",N/A
2024-12-05,협촌야교,심산 노수현,사망,null,비단에 수묵담채,123×35㎝,"2,000,000",N/A
2024-12-05,청풍고절,해강 김규진,사망,null,종이에 수묵,143×38.7㎝,"800,000",N/A
2024-12-05,"산수도, 글씨",혜춘 서회보,사망,null,"종이에 수묵, 종이에 먹","산수_149×33.3㎝, 글씨_148.5×33㎝","2,000,000","2,100,000"
2024-12-05,산수인물도,춘방 김영,사망,null,비단에 수묵담채,99×33㎝,"2,200,000",N/A
2024-12-05,수조도,몽인 정학교,사망,1869,종이에 수묵담채,114×26㎝,"2,500,000","2,500,000"
2024-12-05,춘경산수도,하산 유치봉,사망,null,비단에 수묵담채,153.8×33㎝,"1,000,000","1,000,000"
2024-12-05,석란도,석파 이하응,사망,1891,비단에 수묵,104.5×35㎝,"4,000,000",N/A
2024-12-05,시고·간찰,백하 윤순,사망,null,종이에 먹,"시고_24.5×59㎝, 간찰_27.7×44.8㎝","2,000,000","2,100,000"
2024-12-05,예기집설대전 15책,null,null,null,목판본,37×23㎝,"10,000,000",N/A
2024-12-05,묵죽도,畵_낭간 죽향 題_자하 신위,사망,null,종이에 수묵,26×33.8㎝,"4,500,000","5,200,000"
2024-12-05,설죽도,수운 유덕장,사망,1724,종이에 수묵,115.6×72㎝,"15,000,000","28,000,000"
2024-12-05,묵포도도·제시,숙장 차좌일,사망,null,"종이에 수묵, 먹",각 27×19.5㎝,"12,000,000","12,000,000"
2024-12-05,초충도,화은 홍대연,사망,null,종이에 수묵담채,각 31.5×36㎝,"8,000,000",N/A
2024-12-05,묵란도,추사 김정희,사망,null,종이에 수묵,23.5×30.8㎝,"30,000,000",N/A
2024-12-05,묵죽도 대련,우봉 조희룡,사망,null,분당지에 수묵,각 125.5×28.3㎝,"80,000,000","88,000,000"
2024-12-05,매화희신,추사 김정희,사망,null,종이에 먹,36.5×124.5㎝,"150,000,000","150,000,000"
2024-12-05,송별시,연암 박지원,사망,null,종이에 먹,각 18.5×17.2㎝,"40,000,000","40,000,000"
2024-12-05,산수기려도,신원 이의양,사망,null,종이에 수묵담채,93.5×28.5㎝,"15,000,000","15,500,000"
2024-12-05,산수도,서암 김유성,사망,null,종이에 수묵,96×53.4㎝,"30,000,000","30,000,000"
2024-12-05,-,null,null,null,,N/A,,N/A
2024-12-05,-,null,null,null,,N/A,,N/A
2024-12-05,선조대왕 어필,선조,사망,null,비단에 먹,65×45.7㎝,"4,000,000","4,000,000"
2024-12-05,-,null,null,null,,N/A,,N/A
2024-12-05,예서첩,추사 김정희,사망,null,종이에 먹,"첩_32×21㎝, 글씨_25.4×16.5㎝","100,000,000","100,000,000"
2024-12-05,간찰첩,석파 이하응,사망,null,종이에 먹,23.5×17.5㎝,"5,000,000","6,600,000"
2024-12-05,설중귀려도,겸재 정선,사망,null,비단에 수묵,33.4×29.6㎝,"100,000,000","105,000,000"
2024-12-05,평양성도 10폭병풍,null,null,null,종이에 수묵채색,134×366㎝,"250,000,000","320,000,000"
2024-12-05,책거리 10폭병풍,null,null,null,비단에 채색,각 99.5×32.8㎝,"35,000,000",N/A
2024-12-05,백동자도 8폭병풍,null,null,null,종이에 채색,각 65×33.7㎝,"20,000,000",N/A
2024-12-05,"고지도첩, 간찰",null,null,null,종이에 수묵담채,"첩 34×19.5㎝, 지도 26×30.6㎝","24,000,000","24,000,000"
2024-12-05,어해도 8폭병풍,null,null,null,종이에 수묵담채,각 55.8×30.1㎝,"6,000,000",N/A
2024-12-05,송하호도,null,null,null,종이에 수묵담채,127.5×55.3㎝,"10,000,000",N/A
2024-12-05,송하죽호도,null,null,null,비단에 수묵담채,123×48㎝,"5,000,000","5,200,000"
2024-12-05,송하호작도,null,null,null,종이에 수묵담채,109×60.5㎝,"22,000,000",N/A
2024-12-05,수호흠신,null,null,null,종이에 수묵담채,108×54.2㎝,"40,000,000",N/A
2024-12-05,연사모종,북산 김수철,사망,null,비단에 수묵담채,99.4×34㎝,"40,000,000","40,000,000"
2024-12-05,승고월하문도,겸재 정선,사망,null,종이에 수묵,26.5×38㎝,"50,000,000","62,000,000"
2024-12-05,승고월하문도,호생관 최북,사망,null,종이에 수묵담채,54.5×32.5㎝,"20,000,000","22,000,000"
2024-12-05,유안도,단원 김홍도,사망,null,비단에 수묵담채,72×39㎝,,"300,000,000"
2024-12-05,신선도,현재 심사정,사망,null,비단에 수묵담채,32.7×19.6㎝,"45,000,000",N/A
2024-12-05,추경산수도,고송유수관 이인문,사망,null,종이에 수묵담채,19.8×26㎝,"35,000,000",N/A
2024-12-05,산수도,북산 김수철,사망,null,종이에 채색,132.2×30㎝,"80,000,000","83,000,000"
2024-12-05,소치모고첩,소치 허련,사망,1885,"종이에 수묵담채, 종이에 먹",각 25.5×16.5㎝,"70,000,000","70,000,000"
2024-12-05,신선도 대련,소림 조석진,사망,null,비단에 수묵담채,각 136×34.8㎝,"5,000,000","5,000,000"
2024-12-05,민화 8폭병풍,null,null,null,종이에 수묵담채,각 71.2×31.8㎝,"5,000,000","5,000,000"
2024-12-05,경직도 5점,기산 김준근,null,null,종이에 수묵,각 19.2×12.7㎝,"40,000,000","40,000,000"
2024-12-05,부부초상화,null,null,null,비단에 채색,각 81.7×56㎝,"8,000,000","26,000,000"
2024-12-05,수화 김환기 2-Ⅴ-73 #313,Special Lot.003,사망,null,캔버스에 오일,150×101.5㎝,,N/A
2024-09-12,파초유학도,null,null,null,종이에 수묵채색,24.5×25.5㎝,"1,500,000","3,200,000"
2024-09-12,풍죽도,해강 김규진,사망,null,비단에 수묵,129.8×42.8㎝,"1,500,000",N/A
2024-09-12,취축백약평강조민,소전 손재형,사망,null,종이에 먹,15×46㎝,"500,000","500,000"
2024-09-12,장하강사,소정 변관식,사망,1943,종이에 수묵채색,12.2×44.5㎝,"2,000,000","2,000,000"
2024-09-12,근수유정,소정 변관식,사망,1962,종이에 수묵채색,14×51㎝,"2,000,000",N/A
2024-09-12,금강우후,이당 김은호,사망,null,종이에 수묵,83×96㎝,"8,000,000",N/A
2024-09-12,자연과의 조화,유산 민경갑,사망,1978,종이에 수묵채색,57×82㎝,"2,000,000","2,000,000"
2024-09-12,묵죽도 12폭병풍,해강 김규진,사망,1921,종이에 수묵,각 128.3×28.8㎝,"10,000,000",N/A
2024-09-12,송죽매석도,어문 황철,사망,1901,비단에 수묵,140.5×52㎝,"1,000,000",N/A
2024-09-12,황응도,이당 김은호,사망,null,종이에 수묵채색,129.2×30.8㎝,"1,000,000",N/A
2024-09-12,산수인물도,의재 허백련,사망,null,종이에 수묵채색,33×128.8㎝,"2,000,000","2,900,000"
2024-09-12,"백자항아리, 마을",아사카와 노리타카,사망,1921,종이에 수묵,"산수_31.8×42.6㎝, 정물_26.9×38㎝","2,000,000","2,800,000"
2024-09-12,금강산도 10폭병풍,금강산인 김오헌,null,null,비단에 수묵채색,각 73.7×28.6㎝,"6,000,000",N/A
2024-09-12,육교연수ㆍ시축,위사 강필주,사망,null,종이에 먹종이에 수묵,"畵_24.7×214㎝, 書_24.7×968㎝","5,000,000","11,000,000"
2024-09-12,간찰,추사 김정희,사망,null,종이에 먹,28×44.5㎝,"9,000,000","9,000,000"
2024-09-12,시고,추사 김정희,사망,null,종이에 먹,50.2×28.5㎝,"15,000,000","15,000,000"
2024-09-12,간찰,추사 김정희,사망,1855,종이에 먹,32.8×49.7㎝,"15,000,000","24,000,000"
2024-09-12,석란도,석파 이하응,사망,1888,비단에 수묵,116.6×39㎝,"5,000,000","5,000,000"
2024-09-12,사 8편,추사 김정희,사망,null,종이에 먹,23×66㎝,"30,000,000","30,000,000"
2024-09-12,수소재장 완당필첩,추사 김정희,사망,null,종이에 먹,"帖_25.5×13.5㎝, 書_21.2×8.3㎝ 외","35,000,000","35,000,000"
2024-09-12,시고 대련,추사 김정희,사망,null,종이에 먹,각 97.2×20.7㎝,"30,000,000","30,000,000"
2024-09-12,글씨 대련,자하 신위,사망,null,채색지에 먹,각 125.3×22.5㎝,"2,000,000","2,400,000"
2024-09-12,산수도,지우재 정수영,사망,null,종이에 수묵채색,22.4×15.5㎝,"8,000,000","8,000,000"
2024-09-12,숙조도,현재 심사정,사망,1746,비단에 수묵,25.5×28.5㎝,"15,000,000","17,000,000"
2024-09-12,강상조어도,호생관 최북,사망,null,종이에 수묵채색,66×41.8㎝,"50,000,000","54,000,000"
2024-09-12,산수도 대련,유당 강이오,사망,null,종이에 수묵채색,각 42.6×28.5㎝,"5,000,000","5,000,000"
2024-09-12,산중초옥도,희원 이한철,사망,null,종이에 수묵,26.5×33.2㎝,"3,000,000","3,600,000"
2024-09-12,영모도 10폭병풍,오원 장승업,사망,null,종이에 수묵채색,각 128.3×28.5㎝,"70,000,000","70,000,000"
2024-09-12,춘강어락,소정 변관식,사망,1973,종이에 수묵채색,138×137㎝,"60,000,000",N/A
2024-09-12,산수인물도,창랑 홍세태,사망,null,종이에 수묵채색,27.7×16.2㎝,"8,000,000","8,000,000"
2024-09-12,신선도,소재 이성린,사망,1769,비단에 수묵채색,102×43.5㎝,"30,000,000","42,000,000"
2024-09-12,월하탄금도,신원 이의양,사망,null,종이에 수묵채색,37.5×34㎝,"15,000,000","29,000,000"
2024-09-12,산수도ㆍ묵매도,신원 이의양,사망,null,비단에 수묵,102×42㎝ 외,"30,000,000","31,000,000"
2024-09-12,운죽도ㆍ노송도,해부 변지순,null,null,"종이에 수묵, 종이에 수묵채색","운죽_17.7×25.5㎝, 노송_35×35.5㎝","10,000,000","10,000,000"
2024-09-12,부월도,혜산 유숙,사망,1846,비단에 수묵채색,96.3×34㎝,"30,000,000","30,000,000"
2024-09-12,군리도,소림 조석진,사망,1913,비단에 수묵채색,151×75.3㎝,"150,000,000","170,000,000"
2024-09-12,연지영모도 6폭병풍,null,null,null,종이에 수묵채색,92.8×275.5㎝,"30,000,000","54,000,000"
2024-09-12,자수노안도 10폭병풍,석연 양기훈,사망,null,비단에 자수,134×323㎝,"10,000,000","12,500,000"
2024-09-12,지두고사도ㆍ지두수조도,고송유수관 이인문,사망,null,종이에 수묵,각 23.3×28.7㎝,"35,000,000","35,000,000"
2024-09-12,-,null,null,null,,N/A,,N/A
2024-09-12,곤여전도,null,null,null,종이에 수묵채색,각 157.5×156.7㎝,"50,000,000","40,000,000"
2024-09-12,열성어제,null,null,null,종이에 먹,"帖_35×28㎝, 書_27.5×22.2㎝ 외","2,000,000","2,000,000"
2024-09-12,보가막여효우,고종,사망,null,비단에 먹,39.3×75.6㎝,"3,000,000","3,600,000"
2024-09-12,운룡도,畵_고송유수관 이인문 書_자하 신위,사망,null,종이에 수묵채색,27×32.5㎝,"70,000,000","70,000,000"
2024-09-12,화조영모 6폭병풍,null,null,null,종이에 수묵채색,각 53×36㎝,"30,000,000","30,000,000"
2024-09-12,서수영모도 10폭병풍,null,null,null,비단에 수묵채색,각 33.5×22㎝,"220,000,000","220,000,000"
2024-09-12,지영단전십장생도 10폭병풍,null,null,null,비단에 수묵채색,102.5×386㎝,"450,000,000","400,000,000"
2024-09-12,"해동명적 전집, 후집",null,null,null,종이에 먹,帖_33×23.3㎝ 외,,N/A
2024-09-12,풍죽도,탄은 이정,사망,null,종이에 수묵,76.5×40.5㎝,"7,000,000","7,000,000"
2024-09-12,초절상균,수운 유덕장,사망,null,비단에 수묵,114×49㎝,"10,000,000","10,500,000"
2024-09-12,"왕우군초법, 수운 유덕장 묵죽도 합첩",null,null,null,종이에 수묵,"帖_35×25㎝, 書_25.4×19㎝, 畵_34.5×25㎝","15,000,000","15,000,000"
2024-09-12,미수 허목 초상,null,null,null,비단에 수묵채색,39.5×26.5㎝,"100,000,000",N/A
2024-09-12,간찰,서애 류성룡,사망,null,종이에 먹,26.5×52㎝,"3,000,000","3,000,000"
2024-09-12,글씨,역매 오경석,사망,null,비단에 먹,23×28.5㎝ 외,"2,000,000","2,000,000"
2024-09-12,시고,고균 김옥균,사망,null,종이에 먹,114.7×42.5㎝,"1,000,000","1,000,000"
2024-09-12,시고,일성 이준,사망,null,종이에 먹,121.1×33.4㎝,"5,000,000",N/A
2024-09-12,글씨,백범 김구,사망,null,종이에 먹,134×33.5㎝,"6,000,000",N/A
2024-09-12,호작도 8폭병풍,null,null,null,종이에 목판,각 87×28.6㎝,"8,000,000",N/A
2024-09-12,청룡황룡도,null,null,null,종이에 채색,각 37.3×24.5㎝,"5,000,000","5,000,000"
2024-09-12,삼국지연의도: 화용도,null,null,null,종이에 채색,53.2×64.9㎝,"1,000,000","2,000,000"
2024-09-12,읍성도,null,null,null,비단에 수묵채색,30.5×26.3㎝,"2,000,000",N/A
2024-09-12,태평도,null,null,null,종이에 수묵채색,87.2×43㎝,"2,000,000","2,000,000"
2024-09-12,평생도 8폭병풍,null,null,null,종이에 수묵채색,각 97.2×41.2㎝,"20,000,000","62,000,000"
2024-09-12,사자도,null,null,null,비단에 채색,147.5×82.5㎝,"7,000,000","8,000,000"
2024-09-12,한양 태조 왕사 묘엄존자 무학대화상,null,null,null,종이에 채색,70×52.5㎝,"8,000,000","10,000,000"
2024-09-12,노부인초상,null,null,null,비단에 채색,105×53.3㎝,"6,000,000","10,500,000"
2024-09-12,감모여재도,null,null,null,종이에 채색,87.7×61.7㎝,"4,000,000",N/A
2024-05-30,산수도,소치 허련,사망,null,종이에 수묵채색,22.5×33㎝,"2,500,000","3,600,000"
2024-05-30,고목죽석도,심전 안중식,사망,1916,종이에 수묵,28.5×40㎝,"3,500,000","4,800,000"
2024-05-30,유어도,심전 안중식,사망,null,비단에 수묵채색,139×42.5㎝,"10,000,000","16,000,000"
2024-05-30,송하인물도,백련 지운영,사망,1922,종이에 수묵채색,129.7×62.6㎝,"3,000,000",N/A
2024-05-30,묵죽도,수암 김유탁,사망,1936,종이에 수묵,172×89.5㎝,"4,000,000",N/A
2024-05-30,첨성대,청전 이상범,사망,null,종이에 수묵채색,75.4×182㎝,"60,000,000","78,000,000"
2024-05-30,수렵도,운보 김기창,사망,null,비단에 수묵채색,51×55.2㎝,"4,500,000",N/A
2024-05-30,기우취적,기산 김준근,null,1899,비단에 수묵채색,30×34.2㎝,"6,000,000","18,500,000"
2024-05-30,무이구곡도첩,null,null,null,종이에 먹종이에 수묵채색,글씨 30×45.3㎝ 외그림 28.5×45.3㎝ 외,"8,000,000",N/A
2024-05-30,무이구곡도 10폭병풍,null,null,null,비단에 수묵채색,각 76.5×30.2㎝,"8,000,000","8,000,000"
2024-05-30,신야경전·위수조은,서암 김유성,사망,null,종이에 수묵채색,각 25.8×19.8㎝,"30,000,000","34,000,000"
2024-05-30,귀거래사,청송 성수침,사망,null,종이에 먹,첩 49×33.6㎝ 글씨 42×28㎝,"8,000,000","8,000,000"
2024-05-30,묵죽도·고승도·화조도,작자미상,null,null,비단에 수묵비단에 수묵채색종이에 수묵,묵죽_27.5×26㎝ 고승_28.5×17㎝ 화조_29.5×36㎝,"10,000,000",N/A
2024-05-30,고매도 10폭병풍,null,null,null,종이에 수묵채색,각 145×39㎝,"10,000,000",N/A
2024-05-30,송하호도,null,null,null,종이에 수묵,82.6×44.6㎝,"3,000,000","3,100,000"
2024-05-30,월매도,해부 변지순,null,null,종이에 수묵,40.7×38㎝,"3,000,000",N/A
2024-05-30,죽호도,송수관 김달황,null,null,종이에 수묵채색,116×37.5㎝,"5,000,000",N/A
2024-05-30,백응도,신원 이의양,사망,null,종이에 수묵채색,77×29.4㎝,"5,000,000",N/A
2024-05-30,호도,이원찬,null,null,종이에 수묵채색,123.3×49.8㎝,"30,000,000","32,000,000"
2024-05-30,소원성기려도,호생관 최북,사망,null,종이에 수묵채색,78×51㎝,"50,000,000","50,000,000"
2024-05-30,동령후일,겸재 정선,사망,null,종이에 수묵채색,25×46.3㎝,"65,000,000","78,000,000"
2024-05-30,유마거사도,단원 김홍도,사망,null,종이에 수묵채색,107×46㎝,"300,000,000",N/A
2024-05-30,탄금도,호생관 최북,사망,null,종이에 수묵,22.4×26.8㎝,"12,000,000","12,500,000"
2024-05-30,송하모자호도,작자미상,null,null,종이에 수묵채색,134.5×57.5㎝,"70,000,000","70,000,000"
2024-05-30,숙종어제,숙종,사망,null,종이에 먹,"전체 54.5×32.5㎝, 글씨 41×23㎝ 외","40,000,000","52,000,000"
2024-05-30,화조초충도,전 신사임당,사망,null,종이에 수묵채색,20.5×11.5㎝,"240,000,000",N/A
2024-05-30,백운동,겸재 정선,사망,1726-1730,종이에 수묵,31.5×27.4㎝,"300,000,000","290,000,000"
2024-05-30,부산진도,작자미상,null,null,종이에 수묵채색,25.8×42㎝,"15,000,000","15,500,000"
2024-05-30,하선고,소재 이성린,사망,null,종이에 수묵채색,119×45㎝,"35,000,000","42,000,000"
2024-05-30,오륜행실도 10폭병풍,석지 채용신,사망,1924,비단에 수묵채색,"전체 87.5×31㎝, 상단 39.5×30.5㎝, 하단 47.5×30㎝","200,000,000","240,000,000"
2024-05-30,부모은중경도 8폭병풍,null,null,null,종이에 수묵채색,각 67×39.5㎝,"40,000,000",N/A
2024-05-30,효행도 8폭병풍,null,null,null,종이에 수묵채색,각 42×32.4㎝,"25,000,000",N/A
2024-05-30,심우도 10폭,null,null,null,종이에 수묵채색,각 52.5×37.5㎝,"70,000,000",N/A
2024-05-30,책거리 8폭·글씨 6폭병풍,null,null,null,종이에 수묵채색종이에 먹,각 42×32.4㎝,"30,000,000",N/A
2024-05-30,"고지도첩, 간찰",null,null,null,종이에 수묵채색,"첩 34×19.5㎝, 지도 26×30.6㎝","24,000,000",N/A
2024-05-30,제석파난권,소치 허련,사망,null,종이에 먹,27.5×208㎝,"3,000,000","3,600,000"
2024-05-30,분란도,우봉 조희룡,사망,null,종이에 수묵,58.9×33.3㎝,"10,000,000",N/A
2024-05-30,글씨,추사 김정희,사망,null,종이에 먹,118.7×37.4㎝,"10,000,000","17,000,000"
2024-05-30,책거리 8폭병풍,null,null,null,종이에 수묵,각 59×31.7㎝,"15,000,000",N/A
2024-05-30,사신도 4폭,null,null,null,종이에 수묵채색,각 50×45.6㎝,"25,000,000",N/A
2024-05-30,감모여재도,null,null,null,종이에 수묵채색,99×95㎝,"15,000,000",N/A
2024-05-30,평생사주책,null,null,null,종이에 수묵채색,"첩 28.7×25㎝, 그림 28×22㎝","3,000,000","3,000,000"
2024-05-30,귤산 이유원 초상,null,null,null,비단에 수묵채색,111×61.5㎝,"20,000,000","20,000,000"
2024-05-30,완학당 장간 진영,null,null,null,비단에 수묵채색,113×76㎝,"10,000,000",N/A
2024-05-30,표암 강세황 <두운지정화첩>,Special Lot.005,사망,null,21.8×44.3㎝ 외,N/A,,"850,000,000"
2024-02-29,월매도,월전 장우성,사망,1973,종이에 수묵채색,30×42.5㎝,"1,500,000","1,500,000"
2024-02-29,청서관폭,소정 변관식,사망,null,종이에 수묵채색,12.5×45㎝,"2,000,000","2,100,000"
2024-02-29,쌍치도,묵로 이용우,사망,null,종이에 수묵채색,123.8×32.8㎝,"1,000,000",N/A
2024-02-29,시창청공,소정 변관식,사망,1945,종이에 수묵채색,127×32.5㎝,"2,000,000","2,000,000"
2024-02-29,탈춤,운보 김기창,사망,null,종이에 수묵채색,29.5×46㎝,"4,000,000","4,400,000"
2024-02-29,탈,내고 박생광,사망,null,종이에 수묵채색,"44.5×33㎝, 선면 각 14.5×46.5㎝","10,000,000","10,000,000"
2024-02-29,사계산수도 8폭병풍,의재 허백련,사망,1926,비단에 수묵채색,각 128.3×42㎝,"8,000,000",N/A
