name,size,estimate,final_price
순은금부 십이...,"찻상-18×37×31㎝, 합-15×12.5×9.7㎝(3EA)","10,000,000","10,000,000"
목조 산신상,76.5㎝,"500,000","500,000"
목조 사천왕상,"광목천-113㎝, 지국천·증장천-109.5㎝, 다문천-130.5㎝","2,000,000",
목조 칠성상,총 7점 일괄(약 70㎝),"2,000,000","2,000,000"
금동 관음보살...,32×17㎝,"5,000,000","5,000,000"
금동 관세음보...,65×38×48㎝,"1,000,000","1,200,000"
석조도금 십팔...,총 18점 일괄,"4,500,000",
칠보장식 후수,90×28㎝,"500,000","500,000"
자수 열쇠고리...,"열쇠고리-36×5㎝, 수저집-23.5×8㎝","300,000","750,000"
"갓 3점, 탕...","갓집-45.3×31×45.5㎝, 갓·탕건 각 3점","300,000","850,000"
약과판 3점,"①44.5㎝, ②27.5㎝, ③25㎝","400,000",
오동나무 삼형...,16×22㎝,"300,000",
점통,21×6.5×6.5㎝,"300,000","300,000"
진주조개,19.5×24㎝,"500,000","500,000"
훈장증서 3장,"①40.5×52㎝, ②40.7×50.6㎝, ③47.5×64㎝","1,000,000","2,000,000"
"회상집, 부친...","회상집-27×21㎝, 부친의 영결-19.5×27㎝ 행간집 3권-27×24.5㎝(2EA), 28×33㎝","500,000","500,000"
시고 탁본첩,27×30.5㎝,"500,000","500,000"
티벳 은사 다...,46×13㎝,"500,000","600,000"
동국팔도대총도...,35.5×21㎝,"1,500,000","3,000,000"
화첩(20매),28×40㎝,"1,000,000","1,000,000"
공작도,31×44㎝,"400,000",
송응도,45.5×34.5㎝,"500,000","600,000"
춘경산수 2점,61×33㎝(2EA),"400,000","700,000"
가상,30×41㎝,"500,000","800,000"
환무,58×67㎝,"300,000","300,000"
나들이,64×40㎝,"200,000",
매미,25.5×20㎝,"300,000","300,000"
화접도 2점,42.5×32.5㎝(2EA),"400,000","500,000"
운산우의,39×28㎝,"700,000","1,000,000"
관조와 파초,46×56㎝,"600,000",
전적벽부도,18×33.5㎝,"3,500,000",
풍년희작,69.5×133.5㎝,"400,000","400,000"
수여적송,128×32.5㎝,"600,000","700,000"
의암관수도,158×35.5㎝,"300,000","300,000"
지석천만년,134.5×33.5㎝,"700,000","800,000"
묵죽도 2점,"①126×32.5㎝, ②124×32㎝","200,000","300,000"
해인사 금선암,123×33㎝,"700,000",
송하맹호도,129.5×67.5㎝,"2,000,000",
백동자도,80×38㎝,"300,000",
산신도 3점,"①118×122㎝, ②132×102㎝, ③138×107㎝","1,500,000",
아미타후불탱화,130.5×234.5㎝,"1,000,000",
아미타설법도,130.5×222㎝,"1,000,000",
금강역사도 대...,118.5×61㎝(2EA),"30,000,000",
호작도 6폭병...,96×54㎝,"1,500,000","2,000,000"
매조도 8폭병...,87.5×35㎝,"2,000,000",
백매도 8폭병...,108×35.5㎝,"600,000","600,000"
신선도 6폭*,129.5×57㎝,"500,000","500,000"
문익점 일대기...,105×34.5㎝,"1,000,000","1,000,000"
와당전서 6폭...,132×31㎝,"2,500,000","4,800,000"
어필 탁본 1...,123×31.5㎝,"500,000","500,000"
시편 23편,127×33.5㎝,"300,000","300,000"
휘호('산화소...,125.5×32.5㎝,"300,000","400,000"
휘호('정좌관...,34×130㎝,"400,000","600,000"
빛의 정원에서...,23.5×32.5㎝,"500,000","500,000"
연분홍 꿈,33.5×53㎝,"500,000","700,000"
투계,20.5×27㎝,"500,000","500,000"
복숭아 삼남매,32×41㎝,"400,000",
성안 1983...,116×80㎝,"2,000,000",
불,44×36㎝,"800,000","1,000,000"
반딧불이-집으...,52.7×72.5㎝,"1,000,000","1,000,000"
보성 차밭,45.5×53㎝,"500,000","600,000"
성모자도,60×72㎝,"10,000,000","8,000,000"
All's W...,77.5×65.5㎝,"500,000","500,000"
Making ...,77.5×65.5㎝,"500,000","500,000"
항아리와 매화,43×60㎝,"500,000","600,000"
No Love...,28×19.5㎝,"400,000","500,000"
토기 불기 2...,"①36.5×37×28㎝, ②37.5×41×30㎝","1,000,000","1,200,000"
분청 덤벙대접,8.4×18×5㎝,"1,300,000",
청자상감 '요...,3.5×12×6㎝,"600,000","600,000"
분청 우점문발,9.7×15.5×7㎝,"500,000","600,000"
청자 도형연적,5.5×3.5㎝,"1,000,000","1,500,000"
"청자 유병, ...","무문-6.5×2.7×3.7㎝, 철화-5.3×2×3㎝","1,500,000","1,500,000"
분청 인화문거...,6.5×5㎝,"5,000,000",
"청자 화병, ...","화병-16.8×9×7㎝, 복숭아-8×4.5㎝, 해태-8.5×6×7㎝","95,000,000","105,000,000"
백자 태항아리,"외호-32.5×18×13㎝, 내호-20×10.3×7.7㎝","200,000,000",
백자청화 '유...,33.5×13.7×13.5㎝,"150,000,000",
백자철화 국화...,39.5×8.3×12.5㎝,"30,000,000","30,000,000"
백자청화 보상...,5×17×9㎝,"8,000,000",
백자청화 매난...,11.4×2.7×5㎝,"3,500,000","3,500,000"
백자철화 인화...,13.5×7×7.5㎝,"600,000",
백자철화 운화...,23.5×14.5×12㎝,"2,500,000","2,500,000"
백자철화채 누...,5×4㎝,"3,500,000","3,800,000"
백자철화 '생...,"명문-6.3×2.5×3.5㎝, 기마문-7.3×4.2×4.4㎝","2,000,000","2,200,000"
흑유 병 2점,"①9.5×3×4.5㎝, ②13.5×3.5×4.5㎝","2,000,000","2,000,000"
만자문 책장,58.5×28.5×66㎝,"4,000,000",
어피 가께수리,29.5×42×24.3㎝,"500,000","500,000"
서각('청수고...,15×86.5㎝,"1,000,000","1,000,000"
석조 원숭이상,20×13㎝,"600,000",
"석수(석양, ...","양-93×38×123㎝, 말-103×34×137㎝","50,000,000","48,000,000"
정료대,143×62×76㎝,"10,000,000","10,000,000"
석조 무인상 ...,"①243㎝, ②223㎝","30,000,000",
청동 신장상,37.5㎝,"3,000,000",
청동 여래입상,7.5㎝,"1,000,000","1,000,000"
석조도금 여래...,"좌불-16.5×6×9㎝, 사리함-12×5.5×5.5㎝","5,000,000","6,000,000"
비취 매화문비...,34㎝,"4,000,000",
금제 드리개 ...,15.5㎝(2EA),"25,000,000","25,000,000"
지승 편병,26.5×4×11㎝,"700,000","800,000"
곱돌 박쥐복숭...,10.5×12.5×9.5㎝,"500,000","600,000"
유기 영모화훼...,23.5×27.5×20㎝,"500,000","500,000"
목조 쌍호약연,15.5×13×39㎝,"1,500,000","1,500,000"
다식판·떡살 ...,총 17점 일괄,"600,000","700,000"
상아,55㎝,"700,000","900,000"
대한제국 훈7...,12㎝,"5,000,000",
일본보병 삼본...,"대한제국-45×60.5㎝, 일본-45.5×58.5㎝","10,000,000",
국채보상운동 ...,29×43㎝,"10,000,000",
산해승람,35.5×25㎝,"2,500,000","3,800,000"
경기도 지도,65.5×69㎝,"400,000","600,000"
총도 10폭,61×38㎝,"2,500,000","3,800,000"
김생체 탁본첩,32.5×11.5㎝,"500,000",
춘화첩(23매...,13.5×18㎝,"30,000,000",
보춘,44.5×51㎝,"500,000","500,000"
부귀도,52.5×82㎝,"1,000,000",
복숭아와 앵두,21×26㎝,"500,000","500,000"
양산원사,68×43.5㎝,"500,000","600,000"
견수성,41.5×134.5㎝,"1,500,000","1,500,000"
도화원리인가,122×35㎝,"1,500,000","1,500,000"
쌍림열반도,115.5×58㎝,"1,500,000","2,000,000"
화조접도 8폭,109×38㎝,"500,000","900,000"
궁모란도 8폭,62.5×37.5㎝,"500,000","1,000,000"
문자도 6폭,84×45.5㎝,"1,200,000",
화조도 6폭,55.5×38㎝,"1,500,000","1,500,000"
난죽도 4폭*,36×6㎝,"1,000,000","1,000,000"
묵포도도 8폭...,95.5×268.5㎝,"800,000","800,000"
팔사품도 10...,132.5×34㎝,"1,500,000","1,600,000"
관동팔경도 8...,56.5×31㎝,"800,000","1,300,000"
괴석난죽도 8...,130.5×33㎝,"10,000,000",
죽림칠선인도 ...,96.5×311.4㎝,"2,000,000",
괴석묵란도 6...,105.5×29㎝,"500,000","500,000"
유씨 호구단자...,"①43×41㎝, ②52×48.5㎝, ③49.5×41㎝, ④41×38㎝, ⑤54×37.5㎝, 완문-64×76㎝","500,000","500,000"
휘호('오당지...,30×120㎝,"1,000,000","1,600,000"
휘호('송백내...,33×134㎝,"700,000",
휘호('판치생...,31×124.5㎝,"500,000","700,000"
모자,61×73㎝,"1,000,000","1,700,000"
후지산 설경,32×41㎝,"500,000","500,000"
부산항,44×52㎝,"500,000",
마이산,22.5×45.5㎝,"500,000","500,000"
흑백다방 앞 ...,45.5×52.5㎝,"500,000","500,000"
인천 연안부두,50.5×61㎝,"1,000,000","1,000,000"
조우,37.5×45.5㎝,"700,000","800,000"
봄의 노래,53×65㎝,"1,000,000","1,000,000"
목어 있는 정...,53×45.5㎝,"1,500,000","1,500,000"
Meditat...,45.2×38㎝,"3,500,000","3,500,000"
부부,67.5×49㎝,"900,000",
행상여인,61×73㎝,"500,000",
자연,130×162㎝,"4,000,000","4,000,000"
토끼와 자라,50.5×65㎝,"5,000,000",
해와 달,117×86㎝,"800,000",
싸잡이,30.5×44㎝,"800,000",
북두칠성이 앵...,30.5×37.5㎝,"400,000","500,000"
한옥집,12×18㎝,"3,000,000","3,000,000"
파고다 공원 ...,35.5×25.5㎝,"500,000","500,000"
We Are ...,50×50㎝,"1,000,000",
"사구, 날개,...","사막-100×199.8㎝, 날개·포도-60×29.5㎝","1,000,000","1,100,000"
말,46.5×16×38㎝,"1,800,000","4,600,000"
동자승,35.5×12×15㎝,"600,000","600,000"
Librari...,13×11×16㎝(2EA),"1,000,000",
Birthda...,13×11×16㎝(2EA),"1,000,000",
토기 굽다리접...,총 6점 일괄,"300,000","400,000"
토기 인화문장...,11×8.4×6.5㎝,"800,000","800,000"
청자음각 국화...,6.7×8.7×3.6㎝,"300,000","300,000"
분청 인화문화...,4.8×16×4.5㎝,"1,500,000",
청자 화형접시...,"화형-2.5×10×5㎝, 선문-3×11.5×4㎝, 국화문-2.5×11×6㎝","800,000","800,000"
청자 대접·접...,"①6.3×19×6.5㎝, ②5.6×19×5㎝, ③6×16.5×5.5㎝, ④7.5×17×5㎝, ⑤5.8×18×6.5㎝, ⑥2.8×11×6㎝, ⑦4.5×16×5.5㎝","300,000","400,000"
백자 다각병,13×4.2×5.5㎝,"600,000","600,000"
백자 필세 2...,"①4.5×3.3×4.6㎝, ②4.8×3.7×5㎝","1,000,000","1,000,000"
백자진사채 누...,3.7×7.5㎝,"1,500,000","1,500,000"
백자청화채 사...,3.7×6.8×6.8㎝,"800,000","1,100,000"
흑유 향완,9.5×15.5×7㎝,"300,000","350,000"
흑유 주전자,19.7×7.7×8.5㎝,"2,000,000","2,200,000"
회령요 주전자,20×11.7×17㎝,"500,000","500,000"
분청 달항아리,33.3×16×14.5㎝,"1,000,000","1,100,000"
분청채화 초엽...,9×59.5×25㎝,"500,000","600,000"
이층애기농,74×25.8×52㎝,"500,000",
먹감 이층 책...,133.5×50×101㎝,"1,000,000","1,000,000"
현판(시고) ...,"시고①-32×62㎝, 시고②-31.7×61㎝, 녹청정기-35×81.5㎝","1,500,000","1,500,000"
운문 서안,31×26.3×63㎝,"500,000",
울릉도 서안,30×30.5×78㎝,"500,000",
영모화훼문 고...,72×20㎝,"800,000","900,000"
시문 고비,71.5×34㎝,"500,000","500,000"
화훼문 연상,30×28×43.5㎝,"400,000",
연상문갑,26×30.5×50㎝,"1,000,000","1,000,000"
목제은입사 바...,15×49×50㎝,"500,000",
만자문 해주반...,"해주반-20×27.5×35㎝, 약상-20.5×27.5×36.3㎝","1,000,000","1,000,000"
목단문 해주반,28×33×45.5㎝,"200,000","350,000"
화형 약상,20.5×30×24㎝,"400,000","550,000"
"목단문 소반,...","목단문-25×36.5×49㎝, 복명문-25×35×48㎝","600,000","600,000"
만자문 먹상,17×12.5×28.5㎝,"800,000","900,000"
만자문 팔각공...,24.3×45.5×42㎝,"200,000","250,000"
목제 '만세보...,16.5×15.5×66㎝,"500,000",
망건통,14×10×9.7㎝,"700,000",
경대,11.5×18×26㎝,"300,000","300,000"
화훼문 경대,76.5×23.5×48.2㎝,"300,000","300,000"
깃발(영우병마...,135×42.5㎝,"300,000","2,600,000"
용왕제 용두,22×15×40㎝,"1,500,000","1,600,000"
목조 용두,41.5×18×44㎝,"400,000","500,000"
꼭두 2점,25×5×10㎝(2EA),"400,000","400,000"
목안 한쌍,26×8×28.5㎝(2EA),"1,000,000",
목안 2점,"①18.5×6×25㎝, ②18×8×26㎝","1,000,000","1,000,000"
금동 포대화상,22×17×26㎝,"500,000","500,000"
쌍룡문 벼루,3×19.3×12.3㎝,"500,000","500,000"
시문 단계연,1.5×24×18.5㎝,"700,000","700,000"
곱돌 화로·부...,13.5×16×16㎝,"500,000","500,000"
유기 휴대용촛...,2×9.5×9㎝,"500,000",
은상감 무쇠쌍...,45㎝,"4,000,000","4,000,000"
은상감 등자 ...,15×9.2×12.5㎝(2EA),"300,000",
백동 '다남'...,8×13.5㎝,"300,000","300,000"
은제칠보 장생...,4×1.2×3㎝,"200,000","200,000"
황동 신선로,15×5.5×11.5㎝,"400,000","500,000"
낙선재 나전칠...,6×7.3×7.3㎝,"300,000","300,000"
오동나무 필통,26×9㎝,"500,000",
목제 신선문필...,"목제-18×14×19㎝, 죽제①-16.5×11.5×12㎝, 죽제②-16×9×9.5㎝","1,500,000","1,500,000"
국화박쥐문 표...,3.5×7.5×9.5㎝,"300,000","300,000"
"윷, 밤윷","윷-19.5㎝, 밤윷-3㎝","300,000","300,000"
나전칠기 휴대...,19.8㎝,"500,000","500,000"
지승 지갑 2...,"①36.5×23.5㎝, ②33×20㎝","1,000,000",
무속화 부채 ...,"①39.5×74㎝, ②35.6×66.5㎝, ③34.5×66㎝","300,000","300,000"
박제 아기 호...,37×26×81㎝,"500,000",
한국 동전 일...,일괄,"500,000","500,000"
한국 구권 지...,일괄,"3,000,000","9,000,000"
최신조선전도,75×53㎝,"400,000","400,000"
셩경직해 2책...,22×13.8㎝(4EA),"1,000,000","1,000,000"
조선사 육필원...,27×19㎝,"200,000","200,000"
국조시산,24.5×17㎝,"300,000","3,000,000"
주역대문,17.8×19.5㎝,"200,000","200,000"
금란계첩,35×15.5㎝,"300,000","550,000"
배와심화,38.5×25㎝,"1,000,000","3,000,000"
송온묵적,28×17㎝,"300,000","350,000"
시전 경진신간...,33×22㎝(10EA),"300,000","500,000"
가례증해 10...,32×21.5㎝(10EA),"300,000","300,000"
어제상훈 4책,36×22.5㎝(4EA),"5,000,000","9,000,000"
송자대전수차 ...,34×23㎝(6EA),"500,000","500,000"
오탄집 7책 ...,30.5×19.5㎝(7EA),"500,000","1,000,000"
규장전운 외 ...,총 43점 일괄,"300,000","600,000"
선면 계정관폭,13.5×44㎝,"500,000","800,000"
선면 강상유락...,15.5×55㎝,"400,000","600,000"
선면 화조도,15.8×56㎝,"500,000",
멧돼지,43×59㎝,"200,000",
세한이우,43×32㎝,"300,000","400,000"
금강산 만물상,14×20.5㎝,"400,000","600,000"
수조도,24.5×17.5㎝,"500,000","500,000"
준마도*,67.5×120.5㎝,"400,000","400,000"
합작 화훼도(...,32×127.5㎝,"300,000","300,000"
호렵도,62×123㎝,"300,000",
"해로도, 쌍아...",118×35㎝(2EA),"80,000,000","95,000,000"
괴석묵란도 대...,95×28.5㎝(2EA),"200,000",
기명절지도('...,122.5×30㎝,"300,000","300,000"
장생도 8폭연...,128×308㎝,"700,000","700,000"
매조도 8폭연...,100×325㎝,"200,000","200,000"
노송도 10폭...,135×331㎝,"400,000","500,000"
화조도 4폭병...,58.5×32.5㎝,"2,000,000",
신선도 8폭,118.5×31.5㎝,"400,000","400,000"
난죽도 6폭,149×32.8㎝,"1,200,000","1,200,000"
묵서 12폭병...,25.5×26.5㎝,"400,000",
시고 6폭병풍,79×33.5㎝,"1,200,000","1,200,000"
휘호('집사광...,24.5×35㎝,"300,000","350,000"
시('사경'),65×31.5㎝,"700,000","800,000"
휘호('증산여...,30.5×78㎝,"800,000",
휘호('이민위...,32×83㎝,"1,000,000","1,000,000"
휘호('여천무...,32×127.3㎝,"400,000","400,000"
묵서 2점,36×79㎝(2EA),"2,000,000","2,000,000"
휘호('호남정...,99×33㎝,"600,000",
휘호('위화겸...,127×31.5㎝,"600,000","600,000"
묘표음기 탁본,145.5×53.5㎝,"200,000","200,000"
새와 동자,93×33㎝,"300,000","350,000"
설날,46.5×47㎝,"500,000","500,000"
할아버지 곰방...,25×41㎝,"1,000,000","1,300,000"
겨울날,24×33.5㎝,"200,000",
비행,65×53㎝,"400,000","400,000"
Love He...,32×32㎝,"300,000","300,000"
Mi-A080...,29.5×42㎝,"800,000",
태종대-수국,61×72.5㎝,"1,000,000","1,100,000"
가상적 실존,73×90.7㎝,"300,000","800,000"
어느 날,138.5×101㎝,"1,500,000",
어린 날,45×53㎝,"7,000,000","7,000,000"
여인행려,60×80㎝,"8,000,000",
Work,107.7×77.9㎝,"12,000,000",
My Home...,53×63.5㎝,"800,000",
H'Mong ...,70×50.5㎝,"600,000",
Over th...,34×25㎝,"8,000,000",
토기 타날문양...,37×19.5㎝,"1,000,000","1,100,000"
청자상감 봉황...,9.5×20.5×7㎝,"4,000,000","4,000,000"
청자상감 쌍어...,7.7×18×6㎝,"700,000","700,000"
분청박지 인화...,8×18.5×6.3㎝,"1,500,000","1,500,000"
분청철화 당초...,30.3×7×8㎝,"2,000,000","2,000,000"
청자상감 운룡...,63×9.7×18.2㎝,"500,000,000",
분청 덤벙병,29.2×6×9㎝,"5,000,000","5,000,000"
백자진사 누비...,22.5×3.5×6.5㎝,"6,000,000","6,000,000"
백자 발 3점,"左-7.5×15.5×8㎝, 中-9.8×17×8㎝, 右-8.5×15×6.5㎝","1,500,000","1,600,000"
백자진사 초엽...,24.5×7.5×8㎝,"3,000,000",
백자청화 남원...,13×25.5×9.5㎝,"1,500,000","1,500,000"
백자양각 장생...,16.2×12.5×10.5㎝,"45,000,000","45,000,000"
백자청화 석죽...,4.2×9×6.5㎝,"8,000,000","8,000,000"
백자청화 파상...,2.7×4.5×7㎝,"1,000,000",
백자철화 잉어...,9×5×18.5㎝,"3,500,000",
백자철화채 화...,3×5.5×5.5㎝,"5,000,000","6,500,000"
분청퇴화 화문...,4.5×1×3.7㎝,"1,500,000",
전주 삼층농,176×44×94.5㎝,"3,000,000",
통영 나비이층...,100×32.5×62.8㎝,"1,000,000",
이층 찬탁,149×28×122.5㎝,"1,000,000","1,000,000"
나전대모주칠 ...,23×33×30㎝,"2,500,000",
용목 경대,14.5×18×22.3㎝,"600,000","600,000"
오동나무 망건...,15×11×10.5㎝,"1,000,000","1,000,000"
석조 해태상 ...,41×58×25㎝,"2,500,000","5,000,000"
석조 나한상,30×10×19.5㎝,"1,500,000","2,000,000"
석제 앙부일구,110×59×43㎝,"35,000,000","35,000,000"
현판('천기청...,31.5×134㎝,"2,500,000",
내사용 비취 ...,"비녀-44.5㎝, 지갑-13.4×19.5㎝","100,000,000",
비녀 3점,"①36㎝, ②22.3㎝, ③16㎝","700,000",
대모 부채,24×41.5㎝,"500,000",
은장도 노리개,11㎝,"2,000,000","2,000,000"
산호 노리개,34㎝,"500,000","500,000"
대한국궁내부 ...,1058×75.5㎝,"25,000,000",
금동 반가사유...,5×2×2㎝,"2,500,000","5,400,000"
유기 '부귀남...,24.5×28.5×20.5㎝,"500,000","600,000"
유기 제기 S...,"궤-47×33×86.5㎝, 유기 일괄","1,200,000",
청동 세숫대야,10×47.5×29㎝,"2,000,000","2,000,000"
청동 향로 4...,8×8×9.5㎝,"2,000,000","2,000,000"
매죽문 일월연,2.3×25.5×14.8㎝,"1,000,000","1,000,000"
"계혈석 원석,...","원석-6.5×9㎝, 인장함-4×4×6.5㎝, 인장-3.5㎝(2EA)","1,000,000","1,100,000"
석제음각 사신...,11.5×15×15.5㎝,"2,500,000",
곱돌 '수'명...,18.5×19.5×29.5㎝,"1,500,000","1,500,000"
화승총,37.5㎝,"800,000","800,000"
조족등,35.5×12.5㎝,"2,500,000","2,500,000"
지승 호리병,27㎝,"1,000,000",
인삼규나철 포...,29㎝,"1,000,000","1,000,000"
양주 4점,총 4점 일괄,"1,500,000","3,100,000"
상아 팔선유락...,25.5×24×40㎝(2EA),"10,000,000","10,000,000"
수선전도,93×67.5㎝,"1,500,000","2,000,000"
동서반구도,37×67㎝,"1,000,000",
일본제국지도,49.5×55㎝,"1,000,000",
소설('상록수...,19×13㎝,"1,000,000","1,000,000"
청봉고 6책,"매난국죽-26.5×18㎝(4EA), 30.5×20.5㎝, 29.3×23㎝","500,000","4,200,000"
사마방목 5책,"을유-31.5×20㎝, 경신-33×20.5㎝, 계사-35×32.2㎝, 병자-35×22㎝, 무신-36.5×33㎝","1,000,000","1,800,000"
내사용 을묘사...,32.5×20㎝,"500,000","1,700,000"
법화경 2권(...,"제2권-33×21.3㎝, 제6권-35×23㎝","2,000,000","2,000,000"
춘추좌전상절구...,31×21㎝(10EA),"800,000","900,000"
인명정리문론,31.8×12.2㎝,"15,000,000","15,000,000"
춘화첩,28×32.5㎝,"1,500,000","1,500,000"
묘도,36.5×36.5㎝,"1,500,000","1,500,000"
합작 화훼도,32.5×130㎝,"600,000","650,000"
산가풍정,186×95.5㎝,"800,000","2,700,000"
귀어도,130×32.8㎝,"500,000","500,000"
석란도 2점,"①124.5×39.5㎝, ②131×42.5㎝","1,000,000","1,000,000"
매죽도 6폭병...,61.5×31.5㎝,"1,500,000","1,500,000"
황주죽루기 시...,118.5×33㎝,"1,000,000","1,000,000"
시고 탁본 1...,122×33.5㎝,"4,000,000",
시고 4폭병풍,85.5×32㎝,"800,000",
휘호('운근무...,33×134㎝,"600,000","600,000"
휘호('남북통...,122.5×32㎝,"1,200,000","1,300,000"
작약,33×24.3㎝,"300,000",
모과,32×41㎝,"300,000","300,000"
연꽃,50×60.5㎝,"2,000,000","3,200,000"
수선화,58×74㎝,"700,000","700,000"
Audrey ...,32×32㎝,"1,800,000",
아리랑 고개,90×90㎝,"11,000,000","12,000,000"
여인과 아이,44×27㎝,"6,000,000",
In a Ci...,72×54.5㎝,"1,500,000",
Growth ...,72×54.5㎝,"1,500,000",
Unicorn,88×70㎝,"1,200,000","1,200,000"
Blossom,88×70㎝,"1,200,000","1,200,000"
오누이,59×15×15㎝,"4,000,000","4,000,000"
올림픽 198...,91×37.5×37.5㎝,"5,000,000","5,000,000"
고래,55.5×15×17㎝,"600,000","600,000"
연인,33×10.5×35.5㎝,"1,000,000",
집·적,140×50×50㎝,"1,200,000","1,200,000"
토기 인화문합,14.7×18×8㎝,"500,000","500,000"
토기 파상문굽...,27×13.5×17.5㎝,"500,000","600,000"
토기 손잡이잔...,총 9점 일괄,"500,000","900,000"
잡상(사자),25.5×13×27㎝,"300,000","750,000"
청자상감 여의...,15×18.5×6.5㎝,"11,000,000","11,000,000"
청자양각 어문...,5×18.5×7㎝,"500,000","1,100,000"
청자음각 선문...,"①3.8×13×7㎝, ②3.5×12.5×6.5㎝, ③3.6×13×6.7㎝","500,000","500,000"
분청음각 당초...,10×14×9㎝,"600,000","600,000"
분청 귀얄초엽...,12×10.5×6.5㎝,"1,000,000","1,200,000"
청자·분청·백...,"①8×6.5×7㎝, ②8×16×5.5㎝, ③8.7×20×7㎝, ④8×7.5×7㎝, ⑤6.5×16×7㎝, ⑥7.7×17×5㎝, ⑦7.5×15×5.5㎝, ⑧7.8×14×6.5㎝, ⑨5×16×6㎝, ⑩6.5×15.5×6㎝, ⑪6.3×18×6㎝, ⑫6.5×18×6㎝, ⑬6.5×17.5×6㎝","500,000","1,000,000"
백자 합 2점,"①26×35×16.8㎝, ②28×34.5×17㎝","6,000,000","6,000,000"
백자음각 '지...,9.4×16×8㎝,"15,000,000","15,000,000"
백자 광구병,29.5×7×12㎝,"300,000","300,000"
백자 숙우,9.5×14×6.5㎝,"700,000","900,000"
백자청화 송매...,18.5×3.5×9㎝,"4,000,000","4,000,000"
백자 뚜껑 3...,"①3.8×10㎝, ②2.8×6㎝, ③3.8×6.5㎝","300,000","350,000"
흑유 완 2점,"①7.2×14×5.5㎝, ②7×14×4.5㎝","400,000","700,000"
중국 도기 양...,58×33×31㎝,"2,000,000",
녹청자 양이호...,34×15×12㎝,"300,000","300,000"
백자 경통 한...,"①37.5×6.8×7.8㎝, ②38.5×6.5×7.8㎝","500,000","700,000"
회령요 물항아...,41.5×37×30㎝,"300,000","350,000"
회령요 병 2...,"병①-14×6×5㎝, 병②-22×6.5×9㎝, 호-12.5×10.5×11㎝","300,000","1,300,000"
석간주 자기 ...,총 13점 일괄,"700,000","900,000"
청자 기린향로,18.5×9×10.5㎝,"300,000","550,000"
